system_name,x,y,z,population,stations_name,stations_type,stations_distance_to_star,Stations_controlling_minor_faction_id,stations_allegiance
Andharveti,-82.03125,19.34375,137.34375,2106,Shipton Orbital,Coriolis Starport,409,Federation,Enbilulu Creative Limited 
Col 285 Sector WO-E b13-0,136.375,73.03125,-66.1875,422218,Malocello Depot,Planetary Outpost,1161,Independent,Wolf 1415 Gold Camorra 
Bhumliauri,118.90625,70.78125,110.09375,3619,Bondarek Orbital,Orbis Starport,549,Independent,Black Birds Consilium 
Kraunaha,-142.96875,-20.78125,-70.4375,1210044,Windt Station,Coriolis Starport,1294,Alliance,Asgar General Solutions 
Allocadros,44.78125,11.59375,69.875,2416388,Perry Dock,Orbis Starport,9,Federation,Negidals Co 
Kondareni,24.4375,-259.71875,-19.875,2414,Sikorsky Station,Coriolis Starport,2065,Empire,Vadimo Patrons of Law 
HIP 65371,19.875,127.65625,36.71875,4552189,Duke Hangar,Industrial Outpost,6879,Federation,Labour of Ngurelban 
Ajabog,157.375,43.96875,-1.125,1808838,Shirazi Estate,Civilian Outpost,6,Empire,Tatapai Empire Assembly 
Weleserme,90.75,7.8125,55.5,26004,Wilde Refinery,Coriolis Starport,498,Federation,Revolutionary Andceeth Free 
Borfor,-1.09375,21.21875,85.25,14635089,Lukyanenko Orbital,Coriolis Starport,2415,Independent,Crimson General Limited 
Djabugandji,1.71875,34.78125,119.34375,3259629,Diesel Refinery,Civilian Outpost,13559,Federation,Revolutionary HIP 90539 League 
BD-10 5142,-49.09375,-28.25,87.28125,17323,Marker Depot,Coriolis Starport,105,Empire,Lavigny's Legion 
HIP 19773,185.25,-160.4375,23.3125,2350,Bombelli Port,Civilian Outpost,2467,Alliance,HIP 69518 Liberals 
Truk,-23,-143.71875,100.0625,2721954,Pogue Terminal,Industrial Outpost,312204,Federation,Badja General & Co 
53 Aquarii,-25.6875,-54.28125,27.125,1782,Schwarzschild Platform,Mining Outpost,357494,Empire,Wenadou Dominion 
Arapa,119.4375,-98.0625,-7.09375,2704,Truman Landing,Civilian Outpost,1248,Empire,Nobles of LTT 420 
Ausermoduro,-0.53125,-153.9375,-24.65625,1978,Vian Enterprise,Coriolis Starport,68,Federation,Revolutionary Party of Trumanuchu 
56 Cygni,-133.0625,-0.21875,12.46875,1561,Stephenson Orbital,Coriolis Starport,14525,Independent,Wadjarimpo Fortune Exchange 
Binjakarex,41.40625,55.21875,-114.125,2873,Bujold Orbital,Orbis Starport,112,Federation,Inmutha Fortune Solutions 
Akhvathaang,37.46875,81.6875,-43.21875,1950078,Sy Base,Coriolis Starport,40,Federation,LeMat partnership 
Worom Pef,62.875,-29.34375,31.625,32768,Cheranovsky Mines,Mining Outpost,142,Empire,Woyo Mina Empire League 
Rindrani,117.65625,38.0625,-123.9375,1542,Lavoisier Hub,Commercial Outpost,665,Independent,Guardians of Tranquillity 
Esien Zu,160.5625,-132.71875,-54.84375,1516,Fabian Orbital,Orbis Starport,153,Independent,SSL Interstellar PLC 
Duroua,46.0625,-183.40625,81.9375,4889,Wiener Dock,Industrial Outpost,457,Independent,HIP 116213 Liberty Party 
Aitva,19.0625,-214.25,11,3785,Berners-Lee City,Orbis Starport,13101,Alliance,Sobek Boys 
Ariga,-83.46875,-96.40625,-23.34375,3481,Narvaez Orbital,Civilian Outpost,370,Federation,Breksta Purple Electronics Ind 
Aurvasude,143.0625,-211.3125,23.78125,2752,Al-Jazari Vision,Industrial Outpost,364,Independent,Co-op of Mexicassa 
Korrotra,147.8125,-162.78125,6.4375,4225,Russell Gateway,Orbis Starport,137,Alliance,Wolf 406 Transport & Co 
Tjina,3.4375,-207.78125,103.65625,1636,Normand Dock,Orbis Starport,37,Independent,United Arabh Movement 
CD-68 29,86.4375,-121.46875,57.15625,1432227790,Schoenherr Station,Orbis Starport,21,Empire,G.O.M. Collective 
HIP 6066,61.78125,-234.53125,12.78125,3067829,Hoffman Terminal,Coriolis Starport,4436,Federation,Mileku Free 
Wira,87.34375,-65.0625,-52.3125,3063259,Robinson Gateway,Ocellus Starport,339,Independent,Antanyamai Focus 
Chiche,-26.8125,32.4375,171.90625,3899,Ford Refinery,Industrial Outpost,844,Federation,LFT 563 Silver Energy Services 
Para,-31.53125,120.1875,-11,45574,Takahashi Vision,Orbis Starport,31,Empire,HIP 787 Interstellar 
Ju Sheng,-1.28125,125.4375,-58.40625,1813,Steele Vision,Civilian Outpost,328252,Federation,Union of Waru Coalition 
BD+28 2272,-14.4375,91.84375,18.1875,26488,Garcia Station,Coriolis Starport,1835,Independent,Perin Initiative 
Lu Pel,-10.8125,47.0625,152.09375,1058490,Ali Orbital,Coriolis Starport,2837,Federation,Progressive Party of HR 5960 
Wakaparibe,19.875,-37.4375,3.65625,25962,Green Estate,Industrial Outpost,608,Independent,Dragons of Nastrond 
Coriba,156.40625,-160.5625,-22.6875,4916,Aaronson Landing,Civilian Outpost,48,Empire,Hehebeche Crimson Central Inc 
Melingo,-165.78125,-33.34375,0.375,1280,Finlay Survey,Mining Outpost,22,Independent,Union of Kureserians Liberals 
Abidii,30.15625,-73.71875,-131.40625,1087,Musabayev Station,Ocellus Starport,2370,Federation,Feldr Crimson Advanced Company 
Antanoai,29.78125,-241.90625,56.1875,4885635,Kozeyev Orbital,Orbis Starport,46,Federation,LHS 142 Commodities 
Savir,-50.5625,135.15625,87.46875,2652,Tarentum Platform,Civilian Outpost,252,Federation,SPOCS 678 Republic Party 
Mawai,-11.875,6.21875,157.0625,144626,Dalgarno Survey,Mining Outpost,1947,Empire,Marquis du Bumbojas 
Witola,-120.53125,-0.84375,18.6875,1294,Extra Gateway,Ocellus Starport,576,Empire,Witsegernir Guardians 
Guede,-97.0625,-67.6875,4.375,39206,Hovell Dock,Ocellus Starport,5036,Independent,Brazilian League of Pilots 
Basses,-77.34375,11.5,123.53125,13203,Wendelin Terminal,Coriolis Starport,24,Empire,Wuru Empire Pact 
BD+01 299,-31.78125,-96.71875,-50.75,30181,al-Haytham City,Coriolis Starport,512,Federation,Belobog Allied Limited 
Audhumis,-111.34375,32.0625,-102.71875,1192533,McKay Terminal,Coriolis Starport,87,Independent,Purungga Future 
Aiabara,-13.09375,-32.125,85.4375,1207,Grigorovich Hub,Industrial Outpost,768,Empire,Eleumo Jet Galactic & Co 
Meenapati,16.28125,-91.125,100.75,2361,Szilard Point,Industrial Outpost,45,Federation,Cao Junga Republic Party 
HIP 5687,-80.40625,-97.3125,-69.21875,1423,Joseph Delambre Vision,Orbis Starport,17,Empire,Mandh Guardians of Tradition 
Blati,-10.34375,40.1875,-70.03125,32545,Sommerfeld Port,Industrial Outpost,5719,Independent,Delta Squadron 
Tjialim,47.03125,-158.84375,-36.15625,2194,Ejeta Station,Coriolis Starport,18,Independent,Marquis du Ma'a 
HIP 111447,18.6875,-198.65625,121.875,2053,Zhigang Platform,Civilian Outpost,11,Federation,Chnumandr Bridge Organisation 
Mantani,142.59375,5.96875,-2.1875,16235017,Olivas City,Civilian Outpost,16,Federation,Future of Saharish 
Atahingar,-110.15625,-151.59375,-68.28125,2009,Gamow Station,Coriolis Starport,256,Federation,LP 455-12 Labour 
Bilingara,-8.96875,-78.375,112.46875,1179,Ball Orbital,Coriolis Starport,16,Empire,Pleutarama Empire Consulate 
Fullabog,124.90625,28.96875,103.96875,2019,Wenzel Port,Orbis Starport,550,Empire,Hollobrigo Imperial Society 
Chanasar,135.78125,-78,-40.40625,2518,Bulgarin Terminal,Industrial Outpost,427,Alliance,MZ Ursae Majoris Jet United Org 
Belacabunda,137.90625,43.4375,76.53125,2269071,Westphal Port,Orbis Starport,12368,Empire,Eotienses Citizens' Forum 
Bildeptu,62.125,-162.53125,72.6875,3430,Reisman Station,Industrial Outpost,615,Federation,57 Virginis Solutions 
Any Minurok,-109.78125,-12.0625,-124.28125,2540,Baird Ring,Coriolis Starport,482,Federation,Movement for HIP 96308 for Equality 
Chinicollo,-42.03125,-34,65.75,2214,Bradley Terminal,Industrial Outpost,32,Independent,Workers of Nareg Green Party 
Elycoch,137.40625,57.0625,45.34375,1451123,Ellern Hub,Coriolis Starport,259,Empire,Natural Njambian De Party 
Kitara,6.5625,106.25,-23,32828,Sharman Station,Civilian Outpost,1571,Independent,Unionists of Epomana 
Apuri,-35.96875,-137.3125,60.40625,3397292,Plante Enterprise,Coriolis Starport,329,Federation,New Miao Thixo Liberals 
Raijuhan,-59.40625,-20.6875,-138.5625,1734,Borrego City,Civilian Outpost,10457,Empire,LTT 1598 Guardians of Tradition 
Ambirikar,57.875,-95.125,-53.25,4565,Brunel Terminal,Civilian Outpost,521,Federation,LFT 1504 Limited 
LHS 3117,1.71875,26.28125,41.59375,27578,Salam Dock,Commercial Outpost,1144,Federation,Pethes Purple Fortune Corp. 
Ajani,129.4375,-98.125,15.625,54976,Austen Town Station,Coriolis Starport,589,Alliance,Arque Commodities 
Brigua,-159.15625,-69.75,-35.40625,10560,McMullen Ring,Coriolis Starport,710,Federation,Millese for Equality 
Bodedi,-14.125,26.40625,-14.53125,3489111,Ham Terminal,Orbis Starport,182,Independent,CD-35 9019 Vision Network 
Arakates,167,-186.5625,-44.125,9806,New Chernobyl,Orbis Starport,6538,Alliance,Workers of Gateway for Equality 
Evenks,-37.5,19.65625,-79.34375,3610,Mori Terminal,Coriolis Starport,3753,Federation,Vega Independents 
Attada,-162.875,-78.78125,-43.65625,1357,Ali Ring,Coriolis Starport,599,Federation,United Kokojina Future 
Copitanii,104.8125,-42.84375,31.125,2372,Naglotech,Orbis Starport,523,Empire,East India Company 
HIP 84253,-48.59375,51.5,125.8125,903,Dalgarno Colony,Mining Outpost,413,Empire,Sorbago Mastopolos Mining Inc 
Birhepri,32.78125,26.0625,139.1875,852568,Herschel Landing,Coriolis Starport,41,Empire,First Imperial Fleet 
Mendagorot,126.40625,-206.125,21.09375,4163,Israel Dock,Industrial Outpost,155,Empire,Henet Gold Creative Limited 
Chentiiq,-162.84375,-15.03125,75.5625,2428,Elder Station,Orbis Starport,559,Independent,Eleu General Interstellar 
Kalkyri,-127.71875,-18.375,42.6875,24009,Ikeya Settlement,Industrial Outpost,1681,Independent,Monarchy of Fengol 
BD+77 84,-88.125,32.8125,-70.40625,39647,Valz Dock,Orbis Starport,1167,Independent,Asvienses Council 
Velabri,66.375,-41.46875,25.4375,1652318,Xiaoguan City,Ocellus Starport,24,Federation,Panorua Crimson Power PLC 
NLTT 45090,-87.625,57.1875,26.3125,18939,Narlikar Dock,Mining Outpost,538,Empire,Allied Coras Conservatives 
Benty,147.34375,5.90625,19.875,3284,Bischoff Installation,Industrial Outpost,582,Empire,Riki Nobles 
Alichi,-9.4375,37.15625,147.3125,13364,Nijland City,Coriolis Starport,993,Independent,The Sovereign Justice Collective 
HIP 21256,-5.78125,-36,-116.40625,2639,Comino Terminal,Civilian Outpost,817,Federation,HR 7451 Netcoms PLC 
HR 4934,-61.28125,96.96875,-36.25,2868,Lyulka Hub,Industrial Outpost,1887,Independent,Bureau of Apurui Liberty Party 
LTT 14474,-68,60.46875,-28.40625,3366021,Singer Orbital,Coriolis Starport,451,Federation,Union of Matsya Independents 
HIP 4312,-53.84375,-123.59375,-39.5,2429,Fadlan Works,Civilian Outpost,1608,Independent,Noblemen of LHS 463 
Gurojas,179,-164.21875,87.8125,3463,Payne-Gaposchkin Dock,Mining Outpost,2440,Empire,Liabeze Patron's Party 
HIP 75122,82.96875,20.25,131.125,1071,Farrukh Terminal,Coriolis Starport,2631,Independent,Knights of Karma 
Syntha,85.03125,-11.40625,-132.71875,6955,McArthur Works,Civilian Outpost,7088,Alliance,Ix Tun Jet United Corp. 
Byggvi,23.375,150.34375,37.3125,1516,Fozard Port,Orbis Starport,122,Alliance,LHS 2541 Alliance Combine 
Fenrisastya,-121.125,-82.375,49.28125,1153,Rocklynne Outpost,Mining Outpost,1776,Federation,HIP 88728 Blue Dynamic Exchange 
BD+35 3145,-55.84375,28.25,29.0625,1645369,Zebrowski Hub,Civilian Outpost,36,Independent,Booze Brothers 
Awngtei Ji,-41.78125,-144.15625,6.78125,1985,Julian Market,Orbis Starport,116,Alliance,Aganippe Purple Travel Ind 
Wurra,146.125,-198.0625,-0.1875,239121,Braun Enterprise,Industrial Outpost,620,Independent,Autocracy of Murnakum 
HIP 754,-125.25,-99.65625,-50.15625,4151,Lockyer's Rest,Coriolis Starport,582,Federation,Crimson Netcoms Co 
G 167-35,-33.15625,71.9375,32.9375,1842365,Makarov Terminal,Ocellus Starport,7964,Federation,Values Party of Crowfor 
Bena Luluwa,154.5,-137.1875,100.21875,2036,Bond Hub,Civilian Outpost,224,Independent,Canonn 
Hou Zi,48.34375,-235.25,35.875,25989,Johnson Terminal,Coriolis Starport,23,Federation,Partnership of Zang Tangma 
Koenpeiadal,153.59375,-243.5625,7.28125,19723,Gaultier de Varennes Dock,Orbis Starport,357,Independent,BD-19 3629A Jet Creative Org 
Baruai Shi,-54.78125,-64.0625,60,2232328891,Hartlib Plant,Coriolis Starport,930,Federation,Ralu Independents 
Frentani,83.1875,-142.40625,107.4375,5105,Bohr Hub,Civilian Outpost,205,Independent,Spectre Council 
Bolon Huara,-125.71875,-17.0625,50.78125,3554,Tani Base,Industrial Outpost,3237,Federation,Workers of Wintii Confederacy 
Nicocheo,75.8125,-220.1875,107.4375,1983,Stephan Terminal,Industrial Outpost,86,Empire,Ambibates Inc 
16 Cephei,-108,30.03125,-42.25,18804,Nordenskiold Landing,Industrial Outpost,731,Independent,Ngaliba Network 
BPM 87242,19.59375,103.5,-33.625,4073813,Yegorov Port,Industrial Outpost,535,Federation,Mazu Resistance 
Aztlan,80.8125,-133.71875,6.40625,25000000,Ludwig Struve Orbital,Mining Outpost,653,Empire,Venexo Empire Pact 
HIP 34698,127.15625,-46.75,-2.59375,2516281366,Gregory Ring,Civilian Outpost,1875,Federation,LFT 90 State Incorporated 
HIP 110102,84.15625,-164.1875,129.1875,3004,Hughes Gateway,Scientific Outpost,33,Empire,Cartu Empire League 
Pi Ma Wen,164.65625,-61.53125,-0.125,2993736,Proctor Terminal,Orbis Starport,42,Empire,HIP 787 Empire League 
HERZ 2910,-63.78125,-92.90625,37.4375,25613,Stromgren Port,Mining Outpost,31760,Empire,HIP 101846 Empire Group 
Bielo Kakma,-89.90625,75.28125,121.4375,3283,Gell-Mann Dock,Coriolis Starport,167,Federation,Democrats of BD-02 4304 
Lenguna,87.90625,-34.6875,67.90625,2313,Parise Platform,Civilian Outpost,179,Federation,People's Ruwal Free 
Nguni,117.15625,-69.875,39.3125,2616,Stanier Colony,Industrial Outpost,233,Federation,Kitchitatis Resistance 
Baltek,-33.59375,128.1875,-89.90625,1064,Persephone,Orbis Starport,481,Empire,Avalon Organisation 
Asinda,-53.6875,-34.96875,89.46875,24404,Levchenko Dock,Mining Outpost,14,Federation,Social Akbulun for Equality 
Edindui,-7.3125,56.75,98.8125,2024,Webb Mines,Industrial Outpost,689,Empire,Twilight of the Gods Yarrite Corp. 
Maringpho,-27.59375,156.75,-9.25,15855,Overmyer Hub,Industrial Outpost,348,Alliance,New Viruachi Confederation 
HIP 62686,12.03125,123.90625,8.84375,27827,Laue City,Industrial Outpost,594476,Federation,Revolutionary Mulachi for Equality 
Asles,79.53125,115.0625,-22.9375,2192,Meuron Station,Orbis Starport,26,Empire,Siddha Vision PLC 
Idungbates,42.8125,-37.875,87.5,4026672,Lazutkin Settlement,Industrial Outpost,775,Federation,Eme for Equality 
Aongi,5.125,-32.4375,-64.8125,4376061,Appel Orbital,Scientific Outpost,2246,Federation,LHS 3589 Ltd 
CD-46 12902,6.59375,-21.28125,47.53125,916617131,Alcala Hub,Orbis Starport,347,Federation,Cavins Systems 
Hakkaia,104.96875,-12.6875,-34.25,503116780,Kaufmanis Hub,Orbis Starport,593751,Independent,47 Ceti Exchange 
Themiscrya,38.3125,-107.875,-6.9375,500000,Irvin Station,Coriolis Starport,562,Federation,United Huandja Labour 
GD 219,-48.65625,0.125,41.6875,3972954,Clervoy Gateway,Industrial Outpost,476,Federation,Liberals of Fusang 
Anareldt,56.5,-20.75,116.9375,1731,Duke Survey,Civilian Outpost,50,Federation,Rakka for Equality 
Njang,-40.1875,-11.875,-141.90625,1478,Dorsett Terminal,Industrial Outpost,2830,Independent,Shamatana Crimson Power Partners 
Konejandi,-14.96875,-19.375,-128.5,1731,Low Orbital,Civilian Outpost,71,Federation,Andracanike Purple Federal Inc 
Djen,113.4375,-170.5625,-5.09375,3508,Brendan Gateway,Civilian Outpost,41,Empire,Quivira Electronics PLC 
Kolyawa,-75.09375,-31.84375,-34.09375,4247639,Barcelona Terminal,Coriolis Starport,44,Empire,Rapa Bao Central Exchange 
Yakshapoos,-106.78125,-48.125,108.6875,978,Cousteau Platform,Industrial Outpost,310336,Independent,LP 355-51 Gold Life Incorporated 
Regulus,37.875,60.1875,-35.0625,15448470,Hutchinson Colony,Mining Outpost,707,Independent,Democrats of Amaitsa 
109 Virginis,6.0625,106.09375,82.40625,3346239,Conrad Holdings,Civilian Outpost,1812,Federation,YZ Canis Minoris Systems 
Hydrae Sector JH-V b2-3,91.625,83.25,72.59375,37280,Schmitz Vision,Planetary Outpost,,,not known 
Geirobri,148.46875,-117.125,21.5625,4011304,Griffith Survey,Mining Outpost,6928,Independent,Malja Democrats 
Babaradhbh,-26.34375,-74.09375,-129.25,1672811,Melbourne Park,Orbis Starport,7784,Alliance,Independent Constitution Party 
Zugen,-23.375,5.40625,38.40625,31163,Ikeya Prospect,Civilian Outpost,122565,Empire,HIP 28150 Empire Pact 
Alawaiteri,139.09375,34.53125,24.125,3110,Timofeyevich Co-operative,Coriolis Starport,206,Independent,Avan Purple Society 
Akualanu,63.78125,-128.5,3,772138,Barr City,Ocellus Starport,3486,Federation,Ch'uanga Jet Major Limited 
Apaticultu,38.78125,-30.25,-83.65625,5360709,Bentham Hub,Coriolis Starport,1828,Independent,8th Dragon Squadron 
Brigan,160.40625,-39.3125,-38.84375,1209,Vaucanson Market,Orbis Starport,7823,Independent,Gold Fortune Limited 
Ocainawaka,-49.90625,-149.625,-56.59375,1927,Dahm Port,Mining Outpost,931,Empire,United Imperial Dairies 
HIP 50216,-9.1875,118.3125,-82.5625,3025,Charnas Terminal,Civilian Outpost,18810,Independent,LTT 13125 Gold Electronics & Co 
Awonawilona,118.78125,-102.34375,90.375,2863,Thiele Hub,Coriolis Starport,26,Independent,New BD+65 1846 Defence Force 
T Tauri,-32.96875,-206.40625,-557.3125,10000,Chretien Terminal,Industrial Outpost,628,Independent,Zarece Commodities 
Caill,85.65625,40.875,7.40625,2312346,Asaro Landing,Industrial Outpost,174452,Independent,Nobles of Airs 
CD-48 3774,107.90625,-12.1875,-7.46875,2413751,Frechet Station,Coriolis Starport,658,Empire,Ngalkin Emperor's Grace 
Korwali,-113.21875,-59.84375,-7.5,3820,Khan City,Commercial Outpost,380,Federation,HIP 94905 Democrats 
Gluskapuru,15.78125,-5.40625,-135.875,1329,Atwood Terminal,Industrial Outpost,326555,Alliance,Leviathan Shipyards Corps 
Tauls,-16.4375,162.15625,-44.1875,1352,Kirkwood Platform,Industrial Outpost,383,Independent,Asvieniai Co-operative 
Atuathli,-102.96875,-21.71875,-39.59375,1502054,Smith Exchange,Orbis Starport,77,Federation,Algreit Blue Comms Ltd 
Renpa,191.3125,-124.71875,35.21875,4648,Melvin Dock,Commercial Outpost,578,Independent,7 Pi-1 Orionis Front 
BD-06 2528,80.4375,29.40625,-68.5625,1729,Reilly's Retreat,Coriolis Starport,458,Empire,Svass Exchange 
Susang,-162.4375,-13.15625,57.15625,20052,Narbeth Relay,Civilian Outpost,464,Independent,Liu Bese Democrats 
Kolewixil,128.28125,-93.21875,-75.21875,1855,Bresnik Terminal,Mining Outpost,20,Independent,Madyanmana United Corp. 
Apatugans,57.9375,-240.84375,40.6875,6683,Birkeland Platform,Coriolis Starport,473,Independent,8th Dragon Squadron 
SPOCS 681,28.9375,34.625,109.625,28612,Stephenson Hub,Industrial Outpost,1111,Independent,Starstone Enterprises 
Kotian,-50.75,-127.625,36.09375,1149756014,Hopkinson Vision,Industrial Outpost,1392,Independent,HIP 31187 General Corp. 
HIP 27633,162.90625,-97.8125,29.5,3277,Rutherford Landing,Civilian Outpost,26055,Independent,Union of Kim 2-17 Unionists 
23 Librae,26.46875,38.59375,71.5,2174,Kizim Station,Industrial Outpost,112,Federation,New Hemaki Democrats 
Kebe,33.375,9.1875,-144.53125,17906,Wheelock Port,Civilian Outpost,997,Federation,Puneith Values Party 
8 Alpha-1 Libra,19.46875,45.625,56.125,14993989,Lorenz Station,Coriolis Starport,1795,Alliance,Hepa Advanced Company 
Andijin,-46.8125,81,76.90625,10864,Dirac City,Industrial Outpost,1212,Federation,Uzumeru Netcoms Incorporated 
44 chi Draconis,-22.5625,12.375,-5.40625,42750,Druillet Dock,Ocellus Starport,1263,Empire,Zelacanto Gold Galactic Holdings 
Badbh,22.46875,-222.75,-43.625,3181,McMahon Dock,Industrial Outpost,149,Independent,Independent Eravate Free 
Nuneti,-122.46875,-44.28125,-63.84375,921971,Smirnova Relay,Orbis Starport,215,Federation,Unktock Free 
Vesuvivis,44.375,-91.875,153.53125,1225,Fisher Terminal,Orbis Starport,343,Federation,Earth Defense Fleet 
Contegus,-81.8125,-15.8125,39.1875,79230,Tavares Outpost,Industrial Outpost,151511,Independent,Killke Jet Comms Exchange 
Mopanekpen,-78.75,-41.46875,-115.625,2783,Onizuka Oasis,Coriolis Starport,281,Independent,Autocracy of StKM 1-1341 
Saktassura,-92.65625,-52.5625,-88.875,1563,Mitchell City,Industrial Outpost,779,Independent,Guayambaan Vision Group 
Ceginus,-92.1875,135.59375,43.71875,14765,Weber Terminal,Orbis Starport,524,Independent,Fermer Industries 
Aleut,-136.375,-68.40625,6.78125,2620,Doi Works,Industrial Outpost,799,Federation,BD+17 4808 Incorporated 
LTT 4789,77.4375,79.6875,42.65625,2295,Staus City,Industrial Outpost,261505,Empire,The Brotherhood of GITS 
Baganhau,22.8125,-166.53125,92.5,67800,Elcano Platform,Industrial Outpost,2284,Independent,24 Canum Venaticorum Systems 
Mafthrasika,-36.34375,-78.15625,150.9375,138485,Onufriyenko Prospect,Civilian Outpost,1372,Federation,Thata League 
Bugayaman,55.0625,87.28125,56.78125,5317032,Euclid Station,Coriolis Starport,2928,Federation,Revolutionary Party of LTT 3572 
Kemurukamar,70.03125,-97.1875,-139.34375,5177418,Goldschmidt Terminal,Civilian Outpost,2080,Empire,Guarpulici Energy Industries 
HIP 108228,-122.09375,-85.25,46,1865129,Kingsmill Ring,Coriolis Starport,309,Alliance,Briganii Alliance Mandate 
17 Kappa-1 Bootis,-73.28125,132.375,-7.34375,8264847,Reamy Dock,Coriolis Starport,1774,Independent,The Order of Mobius 
Nunet,102.8125,-3.03125,7,20962,Peters Holm,Orbis Starport,96,Independent,Bureau of Ququve Focus 
Pontae,33.46875,68.84375,90.46875,553115904,Ross Installation,Industrial Outpost,71,Federation,Movement for Ernutef Confederation 
72 Herculis,-32.875,24.6875,22.21875,6478393,Coulomb Terminal,Coriolis Starport,25,Federation,Wonneriti Resistance 
Ao Kach,-112.5,69.71875,-109.46875,1576,Laming Orbital,Orbis Starport,628,Empire,Fretensis Patronage 
Baka'wa,-86.6875,-32.90625,5.75,30989,Jones Mine,Mining Outpost,931,Empire,Cordenet Group 
Akbakshu,141.96875,-193.625,120.03125,7480,Hinz Hub,Coriolis Starport,418,Independent,Future of Ngobe 
Ezerishapa,-99.46875,0.9375,82.0625,1691342473,Chang-Diaz Orbital,Industrial Outpost,56,Independent,Tiris Bureau 
HIP 115370,-126.15625,-101.71875,-14.3125,2677,Lichtenberg Dock,Ocellus Starport,1192,Independent,Autocracy of Djowenet 
HIP 55159,132.15625,51.8125,32.90625,1106,Akers Stop,Industrial Outpost,1354,Empire,Wen Chayuse Advanced Services 
Sosoling,43.15625,-19.46875,42.375,4239005,Al-Farabi Station,Industrial Outpost,1930,Independent,United Belaako Defence Force 
HIP 50194,4.8125,131.65625,-88.625,10732,Mastracchio Terminal,Industrial Outpost,166,Federation,LTT 11478 Exchange 
Djangandra,-21.40625,-219.9375,89.21875,24740,Hoffman Terminal,Industrial Outpost,2388,Federation,16 Cygni Liberals 
HIP 83099,3.59375,32.5625,168.03125,1084743,Dann Port,Industrial Outpost,1094,Federation,HIP 41967 Systems 
Gabietye,-29.84375,-62.875,61.9375,2135239,Bethe Station,Industrial Outpost,2729,Federation,Granthaimi Group 
47 Arietis,-32.03125,-58.4375,-85.25,56558,Bain Dock,Commercial Outpost,3265,Independent,C.O.N.T.R.A.I.L 
Asangbal,83.5625,-22.53125,147.28125,935,Bullialdus Settlement,Civilian Outpost,211,Empire,Regir Empire Party 
Cigu,-5.78125,-45.8125,135.4375,1255,Roosa Port,Coriolis Starport,406,Federation,Independent NLTT 51966 Labour 
Cabassones,-11.34375,-97.0625,23.46875,27527,Bohr Port,Mining Outpost,7834,Federation,Erne Limited 
Meri,-10.8125,-25.40625,-44.40625,45360,Stafford Terminal,Orbis Starport,778,Independent,Umed Regulatory State 
Cabrua,25,-216.59375,34.46875,3278,Pacheco Dock,Ocellus Starport,949,Independent,BO Microscopii Partnership 
Jamurt,-27.90625,25.4375,160,2404,Aksyonov Mines,Mining Outpost,413,Federation,Andlit Co 
Amarakaeri,-4.625,37,135.65625,2688,Robson Hub,Orbis Starport,18160,Federation,Tau Ophiuchii Incorporated 
Luo Wang,62.84375,-123,-97.21875,3825,Leonov Settlement,Coriolis Starport,4803,Federation,Manten Creative Organisation 
Albassapic,130.15625,-65.1875,83.5,4521,Thirsk Relay,Industrial Outpost,34,Federation,Omumbojas Services 
HIP 96515,28.90625,-68.0625,122.5,2518,Reightler Relay,Civilian Outpost,769,Federation,Union of Thiini League 
Asege,-5.375,-131.8125,103.65625,2395,Glidden Terminal,Ocellus Starport,206,Federation,CD-52 9466 Federal Corp. 
Achian,-154.8125,-3.28125,30.4375,3365355,Wigura Orbital,Coriolis Starport,307,Independent,Diamond Frogs 
Godhay,82.34375,82.375,110.0625,134102,Pauling Settlement,Industrial Outpost,789,Independent,Paladin Consortium 
Aobriguites,-139.90625,114.625,18.40625,2910,Vespucci Station,Industrial Outpost,14,Independent,Wirdiani Dominion 
HIP 10012,34.5625,-176.9375,-44.75,2755671,Woolley City,Coriolis Starport,104,Independent,Union of Audusi Values Party 
Aurawala,146.09375,-104.75,88.71875,18039,Thomson Orbital,Orbis Starport,449,Independent,Lansbury Republic Party 
Wulunges,171.9375,-171.625,-2.96875,4980,Michael Station,Coriolis Starport,340,Empire,Protectores Zemina Nostri 
Djakam,24.1875,80.5,-60.09375,3274151,Perrine Landing,Industrial Outpost,555,Independent,Black Birds Consilium 
Hayanzib,57.8125,-99.9375,123.28125,2056361,Chargaff Market,Orbis Starport,263,Federation,Union of Akonito Future 
Bacara,-28.59375,-81.3125,40.3125,22243,Cormack Hub,Orbis Starport,141,Federation,Federal Reclamation Co 
Ovinnik,124.75,-76.4375,77.03125,126109,Lintott Vision,Industrial Outpost,30720,Empire,HIP 98621 Patron's Principles 
Chanses,-21.875,-109.375,72,3568594,Vela City,Industrial Outpost,475,Federation,Coalition of Narverdulli 
Ackycha,-29.03125,39.8125,-25.03125,47185,McDermott Enterprise,Coriolis Starport,2597,Empire,CD-51 102 Company 
Bolones,10.4375,-41.375,75.5,22046,Fox Dock,Orbis Starport,455,Empire,HIP 98621 Empire Party 
Nann,117.4375,97.75,60.8125,12394,Sagan Outpost,Industrial Outpost,622,Alliance,62 Ursae Majoris Silver Life Ltd 
Banya,40.84375,30.03125,-99.0625,3539,Fan Mines,Mining Outpost,77,Independent,Egovi Union 
Latucan,-92.53125,-137.65625,12.6875,16920,Romer Orbital,Civilian Outpost,209,Empire,Bard Citizens' Forum 
